iter	Passed	Remaining
0	70	70884
1	78	39055
2	85	28468
3	93	23159
4	100	20009
5	108	17981
6	116	16483
7	123	15356
8	131	14488
9	139	13788
10	146	13175
11	154	12733
12	163	12380
13	170	12002
14	178	11742
15	186	11457
16	194	11251
17	202	11040
18	209	10821
19	217	10647
20	224	10488
21	233	10360
22	241	10239
23	248	10120
24	256	10010
25	265	9935
26	274	9881
27	283	9824
28	291	9760
29	299	9690
30	307	9618
31	315	9542
32	323	9477
33	331	9418
34	339	9350
35	347	9295
36	355	9256
37	363	9193
38	371	9148
39	379	9103
40	387	9057
41	395	9012
42	402	8964
43	410	8921
44	418	8881
45	426	8843
46	434	8803
47	442	8767
48	449	8729
49	457	8697
50	465	8667
51	473	8629
52	480	8586
53	488	8559
54	496	8523
55	504	8500
56	511	8466
57	519	8434
58	527	8407
59	535	8387
60	543	8366
61	551	8343
62	559	8321
63	567	8297
64	574	8270
65	582	8245
66	591	8229
67	599	8210
68	607	8193
69	614	8167
70	622	8150
71	630	8129
72	638	8102
73	645	8075
74	653	8054
75	661	8037
76	668	8019
77	676	7999
78	685	7990
79	692	7968
80	700	7947
81	707	7924
82	715	7904
83	723	7885
84	730	7863
85	737	7843
86	745	7823
87	752	7799
88	760	7783
89	767	7764
90	775	7748
91	783	7729
92	790	7710
93	798	7691
94	805	7674
95	812	7655
96	820	7641
97	829	7634
98	837	7619
99	846	7619
100	854	7603
101	862	7590
102	869	7576
103	877	7563
104	885	7549
105	893	7539
106	901	7523
107	908	7506
108	916	7492
109	924	7477
110	931	7463
111	939	7446
112	946	7430
113	954	7415
114	961	7401
115	969	7389
116	977	7374
117	985	7363
118	992	7350
119	1000	7337
120	1007	7320
121	1014	7302
122	1022	7287
123	1029	7270
124	1036	7258
125	1044	7243
126	1052	7231
127	1060	7222
128	1068	7213
129	1076	7203
130	1083	7189
131	1091	7175
132	1099	7165
133	1106	7153
134	1114	7143
135	1122	7129
136	1130	7118
137	1137	7103
138	1146	7100
139	1153	7088
140	1161	7077
141	1169	7068
142	1177	7053
143	1184	7040
144	1192	7029
145	1199	7018
146	1207	7005
147	1214	6991
148	1221	6978
149	1228	6963
150	1236	6954
151	1243	6939
152	1254	6945
153	1263	6939
154	1271	6934
155	1279	6923
156	1287	6915
157	1294	6898
158	1301	6885
159	1309	6875
160	1317	6864
161	1324	6851
162	1331	6839
163	1338	6823
164	1345	6809
165	1352	6796
166	1359	6782
167	1367	6771
168	1374	6760
169	1382	6750
170	1389	6737
171	1397	6727
172	1404	6714
173	1412	6704
174	1420	6694
175	1427	6683
176	1435	6672
177	1442	6660
178	1450	6651
179	1457	6638
